ID_do_Par,Tipo_Diretorio,Pasta_Original,Musica_1,Musica_2,Similaridade,Plagio,caracteristicas_individuais,sim_spectral_rolloff,sim_mfcc,sim_tempo,sim_zero_crossing_rate,sim_spectral_centroid,sim_spectral_bandwidth,sim_tonnetz,sim_rms,sim_chroma,sim_mel_spectrogram
Variadas_42,Variadas,42,GFRIEND - 여름여름해 (Sunny Summer).mp3,JO YURI - Rolla Skates.mp3,0.9934,não,"{'spectral_rolloff': '0.9986', 'mfcc': '0.9926', 'tempo': '1.0000', 'zero_crossing_rate': '0.9990', 'spectral_centroid': '0.9987', 'spectral_bandwidth': '0.9926', 'tonnetz': '0.9760', 'rms': '0.9994', 'chroma': '0.9883', 'mel_spectrogram': '0.9731'}",0.9986,0.9926,1.0000,0.9990,0.9987,0.9926,0.9760,0.9994,0.9883,0.9731
Plágios_36,Plágios,36,Queen David Bowie - Under Pressure.mp3,Vanilla Ice - Ice Ice Baby.mp3,0.9864,sim,"{'spectral_rolloff': '0.9751', 'mfcc': '0.9829', 'tempo': '1.0000', 'zero_crossing_rate': '0.9925', 'spectral_centroid': '0.9841', 'spectral_bandwidth': '0.9954', 'tonnetz': '0.9514', 'rms': '0.9992', 'chroma': '0.9956', 'mel_spectrogram': '0.9413'}",0.9751,0.9829,1.0000,0.9925,0.9841,0.9954,0.9514,0.9992,0.9956,0.9413
Plágios_49,Plágios,49,Bryan Adams - Summer Of 69.mp3,Nam Ooru Bengaluru Bangalore Days Video Song NivinPauly Dulquar Salman Nazriya FahadFazil.mp3,0.9940,sim,"{'spectral_rolloff': '0.9985', 'mfcc': '0.9922', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '0.9998', 'spectral_bandwidth': '0.9991', 'tonnetz': '0.9918', 'rms': '0.9937', 'chroma': '0.9966', 'mel_spectrogram': '0.9133'}",0.9985,0.9922,1.0000,0.9999,0.9998,0.9991,0.9918,0.9937,0.9966,0.9133
Plágios_58,Plágios,58,Beyoncé - BODYGUARD.mp3,Flora Matos - Piloto.mp3,0.9828,sim,"{'spectral_rolloff': '0.9825', 'mfcc': '0.9755', 'tempo': '1.0000', 'zero_crossing_rate': '0.9971', 'spectral_centroid': '0.9982', 'spectral_bandwidth': '0.9872', 'tonnetz': '0.9281', 'rms': '0.9986', 'chroma': '0.9883', 'mel_spectrogram': '0.8725'}",0.9825,0.9755,1.0000,0.9971,0.9982,0.9872,0.9281,0.9986,0.9883,0.8725
Plágios_33,Plágios,33,The Beatles - Taxman.mp3,The Jam - Start.mp3,0.9923,sim,"{'spectral_rolloff': '0.9958', 'mfcc': '0.9934', 'tempo': '1.0000', 'zero_crossing_rate': '0.9969', 'spectral_centroid': '0.9980', 'spectral_bandwidth': '0.9941', 'tonnetz': '0.9645', 'rms': '0.9998', 'chroma': '0.9991', 'mel_spectrogram': '0.8761'}",0.9958,0.9934,1.0000,0.9969,0.9980,0.9941,0.9645,0.9998,0.9991,0.8761
Variadas_30,Variadas,30,Rocket Punch - 어제 오늘 내일보다 더 (Love More).mp3,UMJI (VIVIZ) - 어서와 (Welcome) (OST Meow The Secret Boy Part.3).mp3,0.9881,não,"{'spectral_rolloff': '0.9779', 'mfcc': '0.9915', 'tempo': '1.0000', 'zero_crossing_rate': '0.9995', 'spectral_centroid': '0.9920', 'spectral_bandwidth': '0.9923', 'tonnetz': '0.9677', 'rms': '0.9952', 'chroma': '0.9963', 'mel_spectrogram': '0.8659'}",0.9779,0.9915,1.0000,0.9995,0.9920,0.9923,0.9677,0.9952,0.9963,0.8659
Variadas_46,Variadas,46,TWICE Baby Blue Love.mp3,TXT - Blue Orangeade.mp3,0.9928,não,"{'spectral_rolloff': '0.9968', 'mfcc': '0.9926', 'tempo': '1.0000', 'zero_crossing_rate': '0.9993', 'spectral_centroid': '0.9972', 'spectral_bandwidth': '0.9964', 'tonnetz': '0.9697', 'rms': '0.9980', 'chroma': '0.9950', 'mel_spectrogram': '0.9150'}",0.9968,0.9926,1.0000,0.9993,0.9972,0.9964,0.9697,0.9980,0.9950,0.9150
Variadas_13,Variadas,13,DreamNote - Love is so amazing.mp3,Red Velvet - LP.mp3,0.9945,não,"{'spectral_rolloff': '0.9998', 'mfcc': '0.9924', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9999', 'spectral_bandwidth': '0.9996', 'tonnetz': '0.9947', 'rms': '0.9995', 'chroma': '0.9927', 'mel_spectrogram': '0.9366'}",0.9998,0.9924,1.0000,0.9998,0.9999,0.9996,0.9947,0.9995,0.9927,0.9366
Variadas_29,Variadas,29,BIBI - 안녕히 (I'm good at goodbyes).mp3,CLC - 어디야_ (WHERE ARE YOU_).mp3,0.9891,não,"{'spectral_rolloff': '0.9954', 'mfcc': '0.9841', 'tempo': '1.0000', 'zero_crossing_rate': '0.9945', 'spectral_centroid': '0.9966', 'spectral_bandwidth': '0.9981', 'tonnetz': '0.9155', 'rms': '0.9992', 'chroma': '0.9882', 'mel_spectrogram': '0.9541'}",0.9954,0.9841,1.0000,0.9945,0.9966,0.9981,0.9155,0.9992,0.9882,0.9541
Variadas_21,Variadas,21,TAEYEON - What Do I Call You.mp3,søye - XNFP (Feat. JUNE).mp3,0.9926,não,"{'spectral_rolloff': '0.9980', 'mfcc': '0.9925', 'tempo': '1.0000', 'zero_crossing_rate': '0.9996', 'spectral_centroid': '0.9984', 'spectral_bandwidth': '0.9998', 'tonnetz': '0.9774', 'rms': '0.9919', 'chroma': '0.9991', 'mel_spectrogram': '0.8680'}",0.9980,0.9925,1.0000,0.9996,0.9984,0.9998,0.9774,0.9919,0.9991,0.8680
Plágios_11,Plágios,11,Le temps des fleurs.mp3,Noites Traiçoeiras.mp3,0.9918,sim,"{'spectral_rolloff': '0.9947', 'mfcc': '0.9951', 'tempo': '1.0000', 'zero_crossing_rate': '0.9952', 'spectral_centroid': '0.9956', 'spectral_bandwidth': '0.9905', 'tonnetz': '0.9862', 'rms': '0.9952', 'chroma': '0.9931', 'mel_spectrogram': '0.9102'}",0.9947,0.9951,1.0000,0.9952,0.9956,0.9905,0.9862,0.9952,0.9931,0.9102
Plágios_29,Plágios,29,Beaver Krause - So Long as the Waters Flow.mp3,Pink Floyd - The Great Gig In The Sky (2023 Remaster).mp3,0.9830,sim,"{'spectral_rolloff': '0.9990', 'mfcc': '0.9896', 'tempo': '1.0000', 'zero_crossing_rate': '0.9937', 'spectral_centroid': '0.9994', 'spectral_bandwidth': '0.9989', 'tonnetz': '0.9684', 'rms': '0.9818', 'chroma': '0.9865', 'mel_spectrogram': '0.6833'}",0.9990,0.9896,1.0000,0.9937,0.9994,0.9989,0.9684,0.9818,0.9865,0.6833
Variadas_20,Variadas,20,ADORA - Trouble_ TRAVEL!.mp3,Cherry Bullet - VIOLET.mp3,0.9957,não,"{'spectral_rolloff': '0.9996', 'mfcc': '0.9965', 'tempo': '1.0000', 'zero_crossing_rate': '0.9997', 'spectral_centroid': '0.9996', 'spectral_bandwidth': '0.9992', 'tonnetz': '0.9760', 'rms': '0.9993', 'chroma': '0.9967', 'mel_spectrogram': '0.9321'}",0.9996,0.9965,1.0000,0.9997,0.9996,0.9992,0.9760,0.9993,0.9967,0.9321
Plágios_43,Plágios,43,"Thank God I Found You - Mariah Carey, 98 Degrees Joe .mp3",Xscape - One Of Those Love Songs.mp3,0.9839,sim,"{'spectral_rolloff': '0.9784', 'mfcc': '0.9866', 'tempo': '1.0000', 'zero_crossing_rate': '0.9974', 'spectral_centroid': '0.9903', 'spectral_bandwidth': '0.9972', 'tonnetz': '0.9874', 'rms': '0.9837', 'chroma': '0.9896', 'mel_spectrogram': '0.8150'}",0.9784,0.9866,1.0000,0.9974,0.9903,0.9972,0.9874,0.9837,0.9896,0.8150
Plágios_10,Plágios,10,La Isla Bonita.mp3,Zanzibar.mp3,0.9810,sim,"{'spectral_rolloff': '0.9482', 'mfcc': '0.9901', 'tempo': '1.0000', 'zero_crossing_rate': '0.9959', 'spectral_centroid': '0.9768', 'spectral_bandwidth': '0.9858', 'tonnetz': '0.9475', 'rms': '0.9994', 'chroma': '0.9970', 'mel_spectrogram': '0.8485'}",0.9482,0.9901,1.0000,0.9959,0.9768,0.9858,0.9475,0.9994,0.9970,0.8485
Plágios_3,Plágios,3,Led Zeppelin - Stairway To Heaven.mp3,Spirit - Taurus.mp3,0.9851,sim,"{'spectral_rolloff': '0.9917', 'mfcc': '0.9900', 'tempo': '1.0000', 'zero_crossing_rate': '0.9891', 'spectral_centroid': '0.9980', 'spectral_bandwidth': '0.9955', 'tonnetz': '0.9588', 'rms': '0.9945', 'chroma': '0.9802', 'mel_spectrogram': '0.8254'}",0.9917,0.9900,1.0000,0.9891,0.9980,0.9955,0.9588,0.9945,0.9802,0.8254
Plágios_45,Plágios,45,Marvin Gaye - Got to give it up.mp3,Robin Thicke - Blurred Lines.mp3,0.9903,sim,"{'spectral_rolloff': '0.9851', 'mfcc': '0.9870', 'tempo': '1.0000', 'zero_crossing_rate': '0.9994', 'spectral_centroid': '0.9961', 'spectral_bandwidth': '0.9921', 'tonnetz': '0.9933', 'rms': '0.9996', 'chroma': '0.9988', 'mel_spectrogram': '0.8932'}",0.9851,0.9870,1.0000,0.9994,0.9961,0.9921,0.9933,0.9996,0.9988,0.8932
Plágios_59,Plágios,59,James Blunt - Same Mistake.mp3,Ávine e Matheus Fernandes - Coração Cachorro (Late Coração).mp3,0.9842,sim,"{'spectral_rolloff': '0.9990', 'mfcc': '0.9766', 'tempo': '1.0000', 'zero_crossing_rate': '0.9999', 'spectral_centroid': '1.0000', 'spectral_bandwidth': '0.9959', 'tonnetz': '0.9208', 'rms': '0.9931', 'chroma': '0.9957', 'mel_spectrogram': '0.7793'}",0.9990,0.9766,1.0000,0.9999,1.0000,0.9959,0.9208,0.9931,0.9957,0.7793
Plágios_44,Plágios,44,Lady Gaga - Born This Way.mp3,Madonna - Express Yourself.mp3,0.9915,sim,"{'spectral_rolloff': '0.9906', 'mfcc': '0.9907', 'tempo': '1.0000', 'zero_crossing_rate': '0.9951', 'spectral_centroid': '0.9905', 'spectral_bandwidth': '1.0000', 'tonnetz': '0.9792', 'rms': '0.9990', 'chroma': '0.9977', 'mel_spectrogram': '0.9125'}",0.9906,0.9907,1.0000,0.9951,0.9905,1.0000,0.9792,0.9990,0.9977,0.9125
Plágios_61,Plágios,61,Soul Makossa (Ext.).mp3,Wanna Be Startin_ Somethin_.mp3,0.9900,sim,"{'spectral_rolloff': '0.9995', 'mfcc': '0.9769', 'tempo': '1.0000', 'zero_crossing_rate': '0.9996', 'spectral_centroid': '0.9991', 'spectral_bandwidth': '0.9997', 'tonnetz': '0.9446', 'rms': '0.9842', 'chroma': '0.9985', 'mel_spectrogram': '0.9390'}",0.9995,0.9769,1.0000,0.9996,0.9991,0.9997,0.9446,0.9842,0.9985,0.9390
Plágios_38,Plágios,38,Oasis - Shakermaker.mp3,The New Seekers - I d Like To Teach The World To Sing.mp3,0.9913,sim,"{'spectral_rolloff': '0.9999', 'mfcc': '0.9869', 'tempo': '1.0000', 'zero_crossing_rate': '0.9943', 'spectral_centroid': '0.9975', 'spectral_bandwidth': '0.9998', 'tonnetz': '0.9789', 'rms': '0.9964', 'chroma': '0.9919', 'mel_spectrogram': '0.9177'}",0.9999,0.9869,1.0000,0.9943,0.9975,0.9998,0.9789,0.9964,0.9919,0.9177
Variadas_47,Variadas,47,TWICE First Time.mp3,VIVIZ - LOVEADE.mp3,0.9930,não,"{'spectral_rolloff': '0.9974', 'mfcc': '0.9909', 'tempo': '1.0000', 'zero_crossing_rate': '0.9992', 'spectral_centroid': '0.9968', 'spectral_bandwidth': '0.9928', 'tonnetz': '0.9837', 'rms': '0.9995', 'chroma': '0.9913', 'mel_spectrogram': '0.9616'}",0.9974,0.9909,1.0000,0.9992,0.9968,0.9928,0.9837,0.9995,0.9913,0.9616
Variadas_10,Variadas,10,Stella Jang - L'Amour Les Baguettes Paris.mp3,YERIN - Lalala.mp3,0.9706,não,"{'spectral_rolloff': '0.9678', 'mfcc': '0.9539', 'tempo': '1.0000', 'zero_crossing_rate': '0.9977', 'spectral_centroid': '0.9875', 'spectral_bandwidth': '0.9909', 'tonnetz': '0.9710', 'rms': '0.9909', 'chroma': '0.9911', 'mel_spectrogram': '0.7023'}",0.9678,0.9539,1.0000,0.9977,0.9875,0.9909,0.9710,0.9909,0.9911,0.7023
Variadas_34,Variadas,34,BESTie - Hot Baby.mp3,Brave girls - Thank You.mp3,0.9916,não,"{'spectral_rolloff': '0.9908', 'mfcc': '0.9902', 'tempo': '1.0000', 'zero_crossing_rate': '0.9984', 'spectral_centroid': '0.9956', 'spectral_bandwidth': '0.9983', 'tonnetz': '0.9501', 'rms': '0.9851', 'chroma': '0.9961', 'mel_spectrogram': '0.9476'}",0.9908,0.9902,1.0000,0.9984,0.9956,0.9983,0.9501,0.9851,0.9961,0.9476
Variadas_33,Variadas,33,FAVORITE - 하트시그널 (Heart Signal).mp3,Melody Day - 잠은 안 오고 (Restless).mp3,0.9916,não,"{'spectral_rolloff': '0.9985', 'mfcc': '0.9865', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9989', 'spectral_bandwidth': '0.9901', 'tonnetz': '0.9703', 'rms': '0.9963', 'chroma': '0.9972', 'mel_spectrogram': '0.9209'}",0.9985,0.9865,1.0000,0.9998,0.9989,0.9901,0.9703,0.9963,0.9972,0.9209
Variadas_11,Variadas,11,Jimmy Brown - Let Me Know (K-Pop Ver.).mp3,aespa - Life's Too Short (English Ver.).mp3,0.9896,não,"{'spectral_rolloff': '0.9989', 'mfcc': '0.9876', 'tempo': '1.0000', 'zero_crossing_rate': '0.9967', 'spectral_centroid': '0.9993', 'spectral_bandwidth': '0.9996', 'tonnetz': '0.9737', 'rms': '0.9948', 'chroma': '0.9962', 'mel_spectrogram': '0.8227'}",0.9989,0.9876,1.0000,0.9967,0.9993,0.9996,0.9737,0.9948,0.9962,0.8227
Variadas_38,Variadas,38,GFRIEND - Only 1.mp3,GFRIEND - Paradise.mp3,0.9940,não,"{'spectral_rolloff': '0.9985', 'mfcc': '0.9914', 'tempo': '1.0000', 'zero_crossing_rate': '0.9995', 'spectral_centroid': '0.9991', 'spectral_bandwidth': '0.9988', 'tonnetz': '0.9661', 'rms': '0.9948', 'chroma': '0.9963', 'mel_spectrogram': '0.9431'}",0.9985,0.9914,1.0000,0.9995,0.9991,0.9988,0.9661,0.9948,0.9963,0.9431
Plágios_60,Plágios,60,BLACK SABBATH - Sabbath Bloody Sabbath.mp3,Vanusa - What to Do.mp3,0.9896,sim,"{'spectral_rolloff': '0.9948', 'mfcc': '0.9860', 'tempo': '1.0000', 'zero_crossing_rate': '0.9655', 'spectral_centroid': '0.9959', 'spectral_bandwidth': '0.9988', 'tonnetz': '0.9694', 'rms': '0.9959', 'chroma': '0.9973', 'mel_spectrogram': '0.9150'}",0.9948,0.9860,1.0000,0.9655,0.9959,0.9988,0.9694,0.9959,0.9973,0.9150
Variadas_1,Variadas,1,Ryu Sujeong (Lovelyz) - 42=.mp3,STAYC - 247.mp3,0.9907,não,"{'spectral_rolloff': '0.9985', 'mfcc': '0.9926', 'tempo': '1.0000', 'zero_crossing_rate': '0.9975', 'spectral_centroid': '0.9983', 'spectral_bandwidth': '0.9997', 'tonnetz': '0.9624', 'rms': '0.9939', 'chroma': '0.9943', 'mel_spectrogram': '0.8430'}",0.9985,0.9926,1.0000,0.9975,0.9983,0.9997,0.9624,0.9939,0.9943,0.8430
Variadas_25,Variadas,25,FAVORITE - 둘이서 (Two of us).mp3,YUJU - 데킬라 (The Killa).mp3,0.9889,não,"{'spectral_rolloff': '0.9898', 'mfcc': '0.9859', 'tempo': '1.0000', 'zero_crossing_rate': '0.9997', 'spectral_centroid': '0.9958', 'spectral_bandwidth': '0.9953', 'tonnetz': '0.9842', 'rms': '0.9864', 'chroma': '0.9947', 'mel_spectrogram': '0.8879'}",0.9898,0.9859,1.0000,0.9997,0.9958,0.9953,0.9842,0.9864,0.9947,0.8879
Variadas_23,Variadas,23,D.O. (EXO) - 괜찮아도 괜찮아 (That's okay).mp3,ELRIS - 그립다 (Miss U).mp3,0.9895,não,"{'spectral_rolloff': '0.9994', 'mfcc': '0.9920', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9996', 'spectral_bandwidth': '0.9986', 'tonnetz': '0.9427', 'rms': '0.9967', 'chroma': '0.9964', 'mel_spectrogram': '0.7949'}",0.9994,0.9920,1.0000,0.9998,0.9996,0.9986,0.9427,0.9967,0.9964,0.7949
Variadas_12,Variadas,12,Apink - Love is Blind.mp3,Dreamcatcher - Locked Inside A Door.mp3,0.9958,não,"{'spectral_rolloff': '0.9994', 'mfcc': '0.9951', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9992', 'spectral_bandwidth': '0.9982', 'tonnetz': '0.9610', 'rms': '0.9989', 'chroma': '0.9970', 'mel_spectrogram': '0.9603'}",0.9994,0.9951,1.0000,0.9998,0.9992,0.9982,0.9610,0.9989,0.9970,0.9603
Variadas_26,Variadas,26,Dvwn - 마지막 (Last).mp3,HYOLYN - 모닝콜 (Morning Call).mp3,0.9951,não,"{'spectral_rolloff': '0.9998', 'mfcc': '0.9945', 'tempo': '1.0000', 'zero_crossing_rate': '0.9989', 'spectral_centroid': '0.9994', 'spectral_bandwidth': '0.9982', 'tonnetz': '0.9525', 'rms': '0.9981', 'chroma': '0.9966', 'mel_spectrogram': '0.9513'}",0.9998,0.9945,1.0000,0.9989,0.9994,0.9982,0.9525,0.9981,0.9966,0.9513
Plágios_30,Plágios,30,Eric Clapton - Give Me Strength.mp3,Sister Emily Bram - Give Me Strength To Carry On.mp3,0.9840,sim,"{'spectral_rolloff': '0.9884', 'mfcc': '0.9843', 'tempo': '1.0000', 'zero_crossing_rate': '0.9962', 'spectral_centroid': '0.9917', 'spectral_bandwidth': '0.9933', 'tonnetz': '0.9727', 'rms': '0.9877', 'chroma': '0.9944', 'mel_spectrogram': '0.7828'}",0.9884,0.9843,1.0000,0.9962,0.9917,0.9933,0.9727,0.9877,0.9944,0.7828
Plágios_39,Plágios,39,Elastica - Connection.mp3,Wire - Three Girl Rhumba.mp3,0.9923,sim,"{'spectral_rolloff': '0.9966', 'mfcc': '0.9915', 'tempo': '1.0000', 'zero_crossing_rate': '0.9963', 'spectral_centroid': '0.9955', 'spectral_bandwidth': '0.9963', 'tonnetz': '0.9633', 'rms': '0.9984', 'chroma': '0.9941', 'mel_spectrogram': '0.9329'}",0.9966,0.9915,1.0000,0.9963,0.9955,0.9963,0.9633,0.9984,0.9941,0.9329
Variadas_5,Variadas,5,BVNDIT - Fly.mp3,Weki Meki - First Dream.mp3,0.9936,não,"{'spectral_rolloff': '0.9985', 'mfcc': '0.9902', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9976', 'spectral_bandwidth': '0.9978', 'tonnetz': '0.9407', 'rms': '0.9986', 'chroma': '0.9952', 'mel_spectrogram': '0.9655'}",0.9985,0.9902,1.0000,0.9998,0.9976,0.9978,0.9407,0.9986,0.9952,0.9655
Variadas_17,Variadas,17,PINK FLOWERS (분홍꽃).mp3,Yein - Plus n Minus.mp3,0.9928,não,"{'spectral_rolloff': '0.9919', 'mfcc': '0.9920', 'tempo': '1.0000', 'zero_crossing_rate': '0.9998', 'spectral_centroid': '0.9957', 'spectral_bandwidth': '0.9994', 'tonnetz': '0.9392', 'rms': '0.9977', 'chroma': '0.9940', 'mel_spectrogram': '0.9620'}",0.9919,0.9920,1.0000,0.9998,0.9957,0.9994,0.9392,0.9977,0.9940,0.9620
Plágios_40,Plágios,40,Neil Innes - How Sweet to Be an Idiot.mp3,Oasis - Whatever.mp3,0.9715,sim,"{'spectral_rolloff': '0.9506', 'mfcc': '0.9743', 'tempo': '1.0000', 'zero_crossing_rate': '0.9962', 'spectral_centroid': '0.9746', 'spectral_bandwidth': '0.9690', 'tonnetz': '0.9834', 'rms': '0.9702', 'chroma': '0.9939', 'mel_spectrogram': '0.7678'}",0.9506,0.9743,1.0000,0.9962,0.9746,0.9690,0.9834,0.9702,0.9939,0.7678
Variadas_22,Variadas,22,TWICE - 거북이 (TURTLE).mp3,woo!ah! - 겁쟁이 (Scaredy Cat).mp3,0.9960,não,"{'spectral_rolloff': '0.9966', 'mfcc': '0.9950', 'tempo': '1.0000', 'zero_crossing_rate': '0.9992', 'spectral_centroid': '0.9973', 'spectral_bandwidth': '0.9990', 'tonnetz': '0.9845', 'rms': '0.9997', 'chroma': '0.9973', 'mel_spectrogram': '0.9648'}",0.9966,0.9950,1.0000,0.9992,0.9973,0.9990,0.9845,0.9997,0.9973,0.9648
Plágios_50,Plágios,50,Collage - Young Girls.mp3,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars.mp3,0.9913,sim,"{'spectral_rolloff': '0.9882', 'mfcc': '0.9909', 'tempo': '1.0000', 'zero_crossing_rate': '0.9978', 'spectral_centroid': '0.9956', 'spectral_bandwidth': '0.9984', 'tonnetz': '0.9609', 'rms': '0.9976', 'chroma': '0.9944', 'mel_spectrogram': '0.9223'}",0.9882,0.9909,1.0000,0.9978,0.9956,0.9984,0.9609,0.9976,0.9944,0.9223
Plágios_34,Plágios,34,Donna Summer - State of Independence.mp3,Michael Jackson - Billie Jean.mp3,0.9869,sim,"{'spectral_rolloff': '0.9763', 'mfcc': '0.9885', 'tempo': '1.0000', 'zero_crossing_rate': '0.9997', 'spectral_centroid': '0.9882', 'spectral_bandwidth': '0.9819', 'tonnetz': '0.9706', 'rms': '0.9996', 'chroma': '0.9980', 'mel_spectrogram': '0.8904'}",0.9763,0.9885,1.0000,0.9997,0.9882,0.9819,0.9706,0.9996,0.9980,0.8904
